Smooth Fox Terrier,Fox Terrier de Pelo Liso
Soft Coated Wheaten Terrier,Wheaten Terrier Pelo Suave
Spanish Greyhound,Galgo Español
St. Bernard,San Bernardo
Staffordshire Bull Terrier,Staffordshire Bull Terrier
Standard Schnauzer,Schnauzer
Sussex Spaniel,Spaniel de Sussex
Swedish Vallhund,Valhund Sueco
Tibetan Mastiff,Mastín Tibetano
Tibetan Spaniel,Spaniel Tibetano
Tibetan Terrier,Terrier Tibetano
Tosa,Tosa Inu
Toy Fox Terrier,Fox Terrier Toy
Vizsla,Vizsla
Weimaraner,Weimaraner
Welsh Springer Spaniel,Springer Spaniel Galés
Welsh Terrier,Terrier Galés
West Highland White Terrier,West Highland White Terrier
Whippet,Whippet
Wire Fox Terrier,Fox Terrier de Pelo Alambre
Xoloitzcuintle,Xoloitzcuintle
Yorkshire Terrier,Terrier de Yorkshire
